交易描述,类别,贡献次数
YAMI.COM,🛍️ 购物超市,1
SHU SHIA,☕️ 咖啡奶茶,1
TAIWAN PORRIDGE,🍱 餐饮外卖,2
Jo Malone Valley fair,🛍️ 购物超市,1
UNCLE CHA LLC,🍱 餐饮外卖,1
SUNNY AUTO CARE AND BODY,🚗 交通油费,1
Aesop Valley Fair,🛍️ 购物超市,1
SQ *O2 VALLEY,🍱 餐饮外卖,1
TAIWAN PORRIDGE -FREMONT,🍱 餐饮外卖,1
PROSMILE DENTAL,🏥 医疗健康,1
OLD GUI LIN FREMONT INC,🍱 餐饮外卖,1
NOB HILL FOODS #636,🛍️ 购物超市,1
TRAVELERS DES:PER INSUR ID:8986780 INDN:ZIQING HAN HAOXIANG *R CO ID:XXXXX08976 WEB,📦 生活杂项,1
Suit Supply,🛍️ 购物超市,1
BEST WESTERN HERALD SQ,✈️ 旅行住宿,1
SQ *SHABU TATSU,🍱 餐饮外卖,1
